fill	x	y	clickSelects	group	xmin	xmax	ymin	ymax
#F5F5F5	74	2	74 2	742	73.5	74.5	1.5	2.5
#E9E9E9	73	1	73 1	729	72.5	73.5	0.5	1.5
#C8C8C8	73	0	73 0	728	72.5	73.5	-0.5	0.5
#DEDEDE	74	1	74 1	740	73.5	74.5	0.5	1.5
#F7F7F7	75	2	75 2	753	74.5	75.5	1.5	2.5
#FCFCFC	76	3	76 3	764	75.5	76.5	2.5	3.5
#B8B8B8	74	0	74 0	739	73.5	74.5	-0.5	0.5
#ABABAB	75	1	75 1	751	74.5	75.5	0.5	1.5
#EBEBEB	76	2	76 2	763	75.5	76.5	1.5	2.5
#FDFDFD	77	3	77 3	774	76.5	77.5	2.5	3.5
#C3C3C3	75	0	75 0	750	74.5	75.5	-0.5	0.5
#979797	76	1	76 1	762	75.5	76.5	0.5	1.5
#FDFDFD	77	2	77 2	773	76.5	77.5	1.5	2.5
#FDFDFD	79	5	79 5	793	78.5	79.5	4.5	5.5
#FCFCFC	80	5	80 5	809	79.5	80.5	4.5	5.5
#A1A1A1	76	0	76 0	761	75.5	76.5	-0.5	0.5
#E2E2E2	77	1	77 1	772	76.5	77.5	0.5	1.5
#FEFEFE	80	4	80 4	808	79.5	80.5	3.5	4.5
#A9A9A9	77	0	77 0	771	76.5	77.5	-0.5	0.5
#FDFDFD	81	4	81 4	814	80.5	81.5	3.5	4.5
#F9F9F9	78	1	78 1	781	77.5	78.5	0.5	1.5
#FFFFFF	80	3	80 3	807	79.5	80.5	2.5	3.5
#D7D7D7	78	0	78 0	780	77.5	78.5	-0.5	0.5
#FEFEFE	81	3	81 3	813	80.5	81.5	2.5	3.5
#EDEDED	79	2	79 2	790	78.5	79.5	1.5	2.5
#DFDFDF	80	2	80 2	806	79.5	80.5	1.5	2.5
#E2E2E2	79	1	79 1	789	78.5	79.5	0.5	1.5
#9F9F9F	79	0	79 0	788	78.5	79.5	-0.5	0.5
#8A8A8A	80	1	80 1	805	79.5	80.5	0.5	1.5
#FEFEFE	81	2	81 2	812	80.5	81.5	1.5	2.5
#F8F8F8	82	3	82 3	818	81.5	82.5	2.5	3.5
#979797	80	0	80 0	804	79.5	80.5	-0.5	0.5
#E7E7E7	81	1	81 1	811	80.5	81.5	0.5	1.5
#F9F9F9	82	2	82 2	817	81.5	82.5	1.5	2.5
#B4B4B4	81	0	81 0	810	80.5	81.5	-0.5	0.5
#FCFCFC	82	1	82 1	816	81.5	82.5	0.5	1.5
#F7F7F7	83	2	83 2	821	82.5	83.5	1.5	2.5
#D2D2D2	82	0	82 0	815	81.5	82.5	-0.5	0.5
#EEEEEE	83	1	83 1	820	82.5	83.5	0.5	1.5
#C2C2C2	83	0	83 0	819	82.5	83.5	-0.5	0.5
#F9F9F9	84	1	84 1	823	83.5	84.5	0.5	1.5
#D0D0D0	84	0	84 0	822	83.5	84.5	-0.5	0.5
#ACACAC	85	0	85 0	824	84.5	85.5	-0.5	0.5
#FFFFFF	10	8	10 8	13	9.5	10.5	7.5	8.5
#FEFEFE	8	4	8 4	799	7.5	8.5	3.5	4.5
#FFFFFF	27	7	27 7	202	26.5	27.5	6.5	7.5
#FEFEFE	39	6	39 6	336	38.5	39.5	5.5	6.5
#FEFEFE	38	6	38 6	325	37.5	38.5	5.5	6.5
#FFFFFF	58	4	58 4	554	57.5	58.5	3.5	4.5
#FFFFFF	73	9	73 9	738	72.5	73.5	8.5	9.5
#FFFFFF	76	4	76 4	765	75.5	76.5	3.5	4.5
#FFFFFF	44	4	44 4	394	43.5	44.5	3.5	4.5
#FFFFFF	72	7	72 7	725	71.5	72.5	6.5	7.5
